	origin_source_name	origin_entity_id	tamr_id	API_NUMBER	COUNTY	LATITUDE_UNIFIED	LONGITUDE_UNIFIED	LATITUDE_SURFACE	LATITUDE_BOTTOM	LONGITUDE_BOTTOM	LONGITUDE_SURFACE	OPERATOR_ID	OPERATOR_NAME	SPUD_DATE	WELL_NAME	WELL_NUMBER	WELL_STATUS	FIELD_NAME	FIELD_ID	LEASE_NAME	NAMES_UNIFIED	WELL_NAME_UNIFIED	SPUD_DATE_tamr	API_NUMBER_strip	Geofeature
48	p	1	-		ANDREWS	32.1880791	-102.7554181	32.1880791	32.1880791	-102.7554181	-102.7554181	29347		1995-12-06T00:00:00		2A	W			UNIV. 11 SEC. 1	UNIV. 11 SEC. 1	UNIV. 11 SEC. 1 2A	1995-12-06		{'point': [-102.7554181, 32.1880791], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
4	p	8	-		ANDREWS	32.3228615	-102.78007579999999	32.3228615	32.3228615	-102.78007579999999	-102.78007579999999	148113				12	W			TEXAS AA	TEXAS AA	TEXAS AA 12			{'point': [-102.78007579999999, 32.3228615], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
281	p	1	8		LOVING	31.9574447	-103.7236517	31.9574447	31.9853364	-103.7255261	-103.7236517	20528				2H				SEQUOIA 55-1-14 UNIT	SEQUOIA 55-1-14 UNIT	SEQUOIA 55-1-14 UNIT 2H			{'point': [-103.7236517, 31.9574447], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
735	W	4	7	'35009218130000		35.437080000000002	-99.401849999999996					6778	APACHE CORPORATION	2011-04-22	GREGORY	'2-10H	AC				GREGORY	GREGORY '2-10H	2011-04-22	'3500921813	{'point': [-99.40185, 35.43708], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
817	p	1	7		CROCKETT	30.485015899999997	-101.38400109999999	30.485015899999997	30.485015899999997	-101.38400109999999	-101.38400109999999	665748		1998-04-30T00:00:00		3A	W			PIERCE, J. S. 8	PIERCE, J. S. 8	PIERCE, J. S. 8 3A	1998-04-30		{'point': [-101.38400109999999, 30.485015899999997], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
1116	p	6	7		DIMMIT	28.299538000000002	-99.868207	28.299538000000002	28.316454399999998	-99.8739047	-99.868207	797102				01HD				BRISCOE CATARINA WEST	BRISCOE CATARINA WEST	BRISCOE CATARINA WEST 01HD			{'point': [-99.868207, 28.299538000000002], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
757	W	1	7	'35003226030000		36.767249999999997	-98.296980000000005					22281	SANDRIDGE EXPLORATION & PRODUCTION LLC	2013-05-14	CROWDER 2610	'2-5H	AC				CROWDER 2610	CROWDER 2610 '2-5H	2013-05-14	'3500322603	{'point': [-98.29698, 36.76725], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
226	W	5	8	'35133248980000		35.099910000000001	-96.732759999999999					18722	BOONE OPERATING INC	2010-08-25	VICTORY	'41X-12	AC				VICTORY	VICTORY '41X-12	2010-08-25	'3513324898	{'point': [-96.73276, 35.09991], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
912	W	3	7	'35063244790000		35.015426400000003	0					23879	TRINITY OPERATING (USG) LLC	2014-08-06	LAVERNE	'1-12H	AC				LAVERNE	LAVERNE '1-12H	2014-08-06	'3506324479	{'point': [0.0, 35.0154264], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
937	p	2	7		STARR	26.3731713	-98.9045473	26.3731713	26.3731713	-98.9045473	-98.9045473	453170		2007-04-10T00:00:00		2	W			PISTOL HILL 2	PISTOL HILL 2	PISTOL HILL 2 2	2007-04-10		{'point': [-98.9045473, 26.3731713], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
